id,title,channel_name,impressions,age_0_9,age_10s,age_20s,age_30s,age_40s,age_50_plus,gender_male,gender_female,reason
fVLurFtqlH8,트럭 위 혼자만의 치킨 파티? 1평 인생 최고의 게임방,청춘만물트럭,124.0,0.05,0.25,0.4,0.2,0.05,0.05,0.85,0.15,"The channel content is focused on DIY and tech-related activities, such as building a high-performance PC and expressing a fondness for gaming. These topics generally attract a younger male audience, especially those in their 10s and 20s. The DIY aspect and the unique truck setup may also appeal to some older viewers."
TBou58r16MU,(실화) 일본여행 중 일본 일진들 때문에 경찰 부른 레전드 참교육 썰 ㅋㅋㅋ /영상툰/썰툰/사이다툰/,썰푸는 그림쟁이툰,230.0,0.0,0.1,0.6,0.2,0.1,0.0,0.9,0.1,"The channel '썰푸는 그림쟁이툰' suggests storytelling content which is popular among younger audiences. The script focuses on anime and personal travel experiences, appealing particularly to 20s, and the use of humor and '일진' scenarios suggests a male-dominated audience."
pcps4Re2AWY,굉장히 드라마틱한 이야기입니다.,smile4uprakash,153.0,0.0,0.0,0.7,0.2,0.1,0.0,0.8,0.2,"The script content is about an adult romantic story which involves mature themes, making it more appealing to adult audiences, particularly in their 20s and 30s. The male fantasy elements and the storytelling style suggest a strong male audience preference."
NLusWDqdXnI,나를 닮은 AI와 말싸움을 해봤습니다! #정영진 #최욱 #AI,웃다가!,122.0,0.0,0.2,0.4,0.2,0.1,0.1,0.8,0.2,"The video involves AI discussions and humor related to tech, which typically attracts a male audience. The humorous and tech-focused content is likely to engage viewers mainly in their 20s and 30s."
azHhTrCS8kA,2000만원 짜리 픽시 자전거를 타는 고등학생의 정체,0.1통 라이더,106.0,0.0,0.7,0.25,0.05,0.0,0.0,0.85,0.15,"The channel focuses on expensive bicycles and a high school student's experience, appealing primarily to teenagers interested in niche hobbies. The content's technical and performance aspects attract a predominantly male audience."
3OFj6l2tQ9s,World's Most Dangerous Trap!,MrBeast,139.0,0.05,0.25,0.4,0.2,0.07,0.03,0.85,0.15,"MrBeast's content is known for its adventurous and often dangerous challenges, appealing particularly to a younger male audience interested in high-stakes entertainment. The game-like and competitive nature of the video attracts teenagers and young adults, making them predominant viewers."
-p48TC9OBlI,"[FULL] ⚾야구를 사랑하지 않을 수 없어!😍 야구 특집 ‘가자 우승으로’ 스페셜 DJ 차태현, 이택근, 정근우, 홍경민, 우디 보는 라디오 | 두시탈출 컬투쇼 | 250421",SBS Radio 에라오,235.0,0.0,0.1,0.3,0.35,0.2,0.05,0.85,0.15,"The video is about a baseball special broadcast on SBS Radio, featuring well-known sports personalities. This suggests a predominantly male audience, with a focus on sports enthusiasts typically aged 20 to 40."
lXYBBC_uY-g,[신병] 전역,장삐쭈,109.0,0.0,0.05,0.5,0.35,0.1,0.0,0.9,0.1,"The channel '장삐쭈' is known for military-related humor, appealing primarily to men familiar with Korean military culture. The comedic tone and military themes attract a predominantly male audience, mainly in their 20s and 30s who have recently completed or are familiar with military service."
ZIuB18tfwBY,진격의 거인 2분 요약,소맥거핀,190.0,0.05,0.15,0.6,0.15,0.03,0.02,0.8,0.2,"The video is a 2-minute summary of 'Attack on Titan', a popular anime series. Anime content, especially summaries, tends to attract a younger and predominantly male audience, particularly those in their 20s."
VwsUboEsJmA,"자고 일어났는데, 나만 레벨업이 가능한 세상이라고..?🔥누적 조회수만 143억🔥 진짜 원작이 너무 재밌어서 애니메이션까지 제작한 레전드 작품",작은 영화관,111.0,0.01,0.4,0.45,0.1,0.03,0.01,0.9,0.1,"The content revolves around a popular action-fantasy narrative, appealing mostly to younger audiences, especially teens and those in their 20s. The gaming and anime-like theme is likely to attract predominantly male viewers."
CkUivzFNXVc,50대 한국 중년! 몽골 미녀 세자매를 골고루 임신시켜주다! 몽골 유목민 부족을 도와준 그의 충격적인 사건,인생지혜의 호수,738.0,0.0,0.0,0.1,0.1,0.2,0.6,0.9,0.1,"The video content is centered on a 50-year-old man's travel and unique experiences, appealing mostly to an older male audience. The channel name and script hint at life wisdom, likely attracting viewers interested in adventurous and extraordinary stories, particularly 50+ men."
JvZuFM9umN0,은퇴 후 조용히 숨어살던 전직 🔥안기부 요원🔥을 건드려버린 일당의 최후 《무빙》결말까지 한 방에 몰아보기,공작왕TV,190.0,0.05,0.2,0.4,0.2,0.1,0.05,0.8,0.2,"This video's theme revolves around espionage and action, which typically attracts a male audience, especially those interested in thrillers and action dramas. The age distribution skews towards 20s and 30s, given the complexity and intensity of the content, appealing to young adults and middle-aged viewers."
lPQdMql2ebc,급식왕 새 레슬러 악몽의 지배자 서큐버스 등장!! (ft.잠들면 죽는다),급식왕,213.0,0.2,0.5,0.25,0.05,0.0,0.0,0.8,0.2,"The channel '급식왕' is known for producing comedic and school-themed content, which is popular among teenagers. The skit-based script suggests a humorous, light-hearted tone appealing to younger audiences. The wrestling theme and fantasy elements like 'succubus' attract a predominantly male audience."
2IRc1Jt_ITE,💥믿고 보는 덴젤 언제 봐도 어떤 역을 해도 연기의 신이라 느껴진다  [결말 포함],무비드 : Movie & Drama,688.0,0.0,0.05,0.4,0.35,0.15,0.05,0.8,0.2,"The content is a movie and drama analysis, which typically attracts more male viewers interested in action and crime genres. The channel's focus on analysis suggests a mature audience, likely in their 20s and 30s."
_Es9ORAjLU0,강문경(カンムンギョン) - 남자는 말합니다(男は言います)｜한일톱텐쇼 44회,MBN MUSIC,128.0,0.0,0.05,0.25,0.3,0.2,0.2,0.9,0.1,The content is music with a nostalgic feel often appreciated by older adults. The channel MBN MUSIC typically targets older male audiences with traditional and classic music content.
ZuYF8aHqzQE,살색 아조씨의 온천 대소동(ft. 규슈 초호화 호텔),추성훈 ChooSungHoon,166.0,0.0,0.05,0.25,0.4,0.2,0.1,0.85,0.15,"The channel ChooSungHoon is centered around lifestyle and travel content, likely appealing to adults interested in leisure and luxury experiences, skewing towards males. The script's emphasis on relaxation and luxury travel suggests a 30-40s demographic with disposable income, noting the specific interest in Japanese onsens and high-end hotels."
QEJpqMR2vQE,여기 어때,태계일주 베이스캠프,336.0,0.0,0.05,0.25,0.4,0.2,0.1,0.8,0.2,"The channel '태계일주 베이스캠프' is known for travel and adventure content, which typically attracts a male audience. The script suggests a focus on mature and experienced travelers, likely appealing to viewers in their 30s and 40s."
fQSV7tREZIM,제작비 1300억!? 양치기라고 개무시 받던 소년이 짱돌 하나로 2m97cm의 거인을 때려잡는 천재적인 방법 결말까지 몰아보기!!,어바웃타임 (About time),196.0,0.0,0.1,0.4,0.3,0.15,0.05,0.8,0.2,"The content seems to focus on a historical or mythological story, likely appealing to an older audience interested in such narratives. The mention of a giant and a brave boy might attract a male audience, especially those interested in historical or fantasy themes."
uTC1d8H1OmY,[퉁퉁퉁 사후르] 서열 정리,지식돼지,176.0,0.05,0.6,0.3,0.05,0.0,0.0,0.9,0.1,"The content revolves around fictional battles and character rankings, appealing to a younger male audience interested in gaming and fantastical storytelling. The channel's focus on such imaginative and action-packed topics is likely to attract predominantly teenage and young adult males."
YPa1B7AJ_zI,상위 1% 고수들만 안다는 챗GPT의 숨은 기능 '3가지'ㅣ지식인초대석 EP.36 (김덕진 교수 1부),지식인사이드,403.0,0.0,0.1,0.4,0.3,0.15,0.05,0.8,0.2,"The content discusses AI technology and ChatGPT, which generally appeals to a tech-savvy audience, often skewing male and in the 20-40 age range. The discussion on using AI in professional settings suggests a professional audience more likely to be in their 30s."
SIOA3hJL9CU,24시간 동안 체중 증가 vs 체중 감소!! 살 찌우기가 쉬울까 살 빼기가 쉬울까?!,파뿌리,121.0,0.0,0.1,0.7,0.15,0.05,0.0,0.8,0.2,"The channel '파뿌리' is known for fun and challenge content, appealing primarily to young adults. The competitive nature involving weight challenges tends to attract a predominantly male audience, particularly those in their 20s."
7qxqM1baZSs,"[남천동生라이브!] 얼쑤♪ 김문수 명인의 개, 아리~랑~♬ 덩~기 덕쑤! 덩더러러러러러~",사장남천동,840.0,0.0,0.0,0.1,0.3,0.4,0.2,0.8,0.2,"The content appears to focus on political discussions, likely attracting an older audience, primarily in their 30s to 50s. Given the complex political nature, it seems to attract more male viewers."
nwGkDLGJ1xo,학폭사건의 진실을 찾고 학교 탈출하기!!!,흔한남매,558.0,0.1,0.5,0.3,0.1,0.0,0.0,0.8,0.2,"This analysis is based on the channel name '흔한남매', which is known for gaming content that typically attracts a younger male audience. The script indicates a gaming theme with school-related topics, likely appealing to teens and young adults."
j5IPn-Eso4o,세계여행을 위한 인생 첫 차 출고 (타스만) - 한국,노마드션 No mad Shaun,512.0,0.0,0.05,0.7,0.15,0.1,0.0,0.8,0.2,"The video is about purchasing a new truck for world travel, which appeals more to male viewers interested in cars and adventure. The content and lifestyle depicted are more attractive to young adults, particularly those in their 20s who are adventurous and interested in travel."
hziY4RSmFK8,추성훈 스테이크 이긴 찐 레어 돼지 스테이크(ft.로컬 맛집),추성훈 ChooSungHoon,246.0,0.0,0.05,0.2,0.4,0.3,0.05,0.9,0.1,"Choo Sung Hoon is a well-known martial artist and celebrity, attracting a predominantly male audience interested in sports and lifestyle. The content focuses on gourmet food and travel, appealing to a mature audience, mainly in their 30s and 40s."
4j-AN1ke-5M,[하이라이트] KIA타이거즈 VS 키움히어로즈 (2025.5.5),기아타이거즈 - 갸티비,194.0,0.05,0.1,0.2,0.3,0.3,0.05,0.85,0.15,"The video is about a professional baseball game between two popular teams, which generally attracts a male-dominated audience. The age distribution is likely skewed towards 30s and 40s considering fans who grew up with these teams."
dugM9jW5aSE,술 먹고 친구들 앞에서 똥 싼 대학교 신입생ㄷㄷ,주둥이방송,152.0,0.0,0.7,0.3,0.0,0.0,0.0,0.9,0.1,"The script and title suggest a humorous and somewhat immature content targeted at a younger audience, likely teenagers. The content is about college life and pranks, which is more appealing to male viewers."
zCYCUdbBTYw,살쪄서 병 생긴 이현석 72시간 운동방에 가둬 놓고 강제 다이어트 시키기 ㅋㅋㅋㅋㅋㅋㅋ,보물섬,259.0,0.0,0.5,0.4,0.1,0.0,0.0,0.9,0.1,"The channel '보물섬' is known for creating comedic and entertaining content, often involving challenges and pranks, which primarily appeal to male teenagers and young adults. The content focuses on fitness challenges, appealing mainly to a male audience interested in humor and physical activities."
eKsDe08Hhgg,[미공개] 감독님께 새 애착 인형이 생겼습니다 (두산 베어스 김재호 닮은꼴) | Studio C1,스튜디오시원 StudioC1,116.0,0.0,0.05,0.3,0.4,0.2,0.05,0.85,0.15,"The channel name 'StudioC1' and script imply a focus on sports, specifically baseball, which typically attracts a male audience. The content likely appeals to middle-aged fans familiar with baseball players and teams, hence the 30-40 age range focus."
4BN3LFyxaaU,"🎬[full] 시아버지, 아들, 며느리 모두가 특전사인 '특전사 가족'의 이야기 | KBS 인간극장 '이보다 더 강할 순 없다' 1-5부 040614-040618 방송",esports KBS,201.0,0.0,0.05,0.35,0.25,0.2,0.15,0.8,0.2,"The content is related to military and special forces training, which typically attracts a male audience. The age distribution reflects interest from young adults to middle-aged viewers, who may relate to military family stories."
BbX5BzaIwm8,넷플릭스가 2025년 2월 해외에 공개하자마자 북미 1위 등극 국내엔 미개봉 초대형 액션 영화,무추,102.0,0.0,0.05,0.25,0.35,0.25,0.1,0.85,0.15,"The channel '무추' focuses on action and thriller content, suggesting a male-dominated viewership. The complex storyline and action elements appeal to viewers aged 20-40, who are typically more interested in such genres."
usF8CQ0cVoI,캠핑과 낚시가 한번에 해결되는 환상의 포인트!!!,진석기시대,184.0,0.0,0.05,0.15,0.35,0.3,0.15,0.9,0.1,"The channel '진석기시대' focuses on camping and fishing, which is typically male-dominated content. The conversational and detailed approach suggests it appeals to adults, especially those in their 30s and 40s who enjoy these hobbies."
T1eu51VC9fk,오징어게임 시즌 0 몰아보기,키에커,277.0,0.0,0.7,0.3,0.0,0.0,0.0,0.9,0.1,"The content seems to be inspired by 'Squid Game,' which typically attracts younger audiences, particularly teens and young adults. The action-oriented and game-themed script suggests a skew towards a male audience."
qOs_p4KV5s4,트롤 타워에서 몰카했더니 울어버린 타코?! 빡종까지 해버림 ㅋㅋㅋㅋ,꽥,113.0,0.05,0.6,0.3,0.03,0.01,0.01,0.85,0.15,"The channel '꽥' is not recognized as a major channel, but the content is clearly gaming-related, involving trolling and pranks, which usually appeal to a younger, predominantly male audience, particularly teens and young adults. The humor style and gaming focus further support this demographic analysis."
hF5D6CNteZ8,(2시간) 조선건국부터 조선중기까지 23-32화 몰아보기 ! - 설민석의 한국통사 특강 풀버전 3편,설민석 Seol Min Seok,116.0,0.0,0.05,0.2,0.25,0.3,0.2,0.8,0.2,"The channel 'Seol Min Seok' is known for delivering historical content, appealing to viewers interested in Korean history, predominantly attracting male viewers. The detailed historical lecture suggests an older audience, likely among those in their 30s to 50s, who are more likely to appreciate in-depth historical analysis."
XSrm99OrFIo,한달간 악력 길러서 형 손 뭉개트리기,보따,368.0,0.0,0.3,0.5,0.2,0.0,0.0,0.9,0.1,"The video is likely to attract young males interested in fitness challenges and gaming themes. The channel '보따' is known for its male-centric content, focusing on gaming and strength challenges, appealing to a younger male audience."
zu9BXW5hwjM,The most embarrassing and disrespectful moments in sports history,DOSE OF INTERNET,140.0,0.0,0.15,0.5,0.25,0.1,0.0,0.85,0.15,"The channel 'DOSE OF INTERNET' typically attracts a younger audience interested in viral and entertaining content. The video focuses on sports moments, which tend to have a predominantly male audience. The chaotic and comical nature of the content appeals to 20s and 30s viewers."
1ed3MFzhy3g,[조선구하기2] 일본의 생명 경시와 그 반대 조선,황현필 한국사,125.0,0.0,0.05,0.1,0.3,0.3,0.25,0.8,0.2,"The channel focuses on Korean history, which typically attracts an older audience interested in culture and history. The content is analytical and critical, likely appealing more to male viewers."
KvV2yxkVvIk,야알못 감스트 형님과 크보빵 200개 까봤습니다. (감스트X불방맹이),불방맹이TV,153.0,0.0,0.1,0.4,0.3,0.2,0.0,0.9,0.1,"The content is heavily centered around baseball, which typically attracts a predominantly male audience. The channel's casual, conversational style and focus on player discussions suggest an audience primarily in their 20s and 30s, with some interest from 40s due to the nostalgic element of veteran players."
JcNk2V0CnyY,"재능이 0인 촌구석 아저씨는 그냥 시골 검술 사범이었는데, 대성한 제자들이 나를 내버려두지 않아서 검성이 돼버렸다",작은방 덕후,516.0,0.0,0.2,0.5,0.2,0.1,0.0,0.9,0.1,"The content is centered around fantasy martial arts, which typically appeals more to male audiences. Additionally, the storytelling and adventure elements are likely to attract viewers in their 20s to 30s, interested in gaming and fantasy genres."
INAoJ2yNVNk,2002년 데뷔곡 BK LOVE 입니다 즐겁게 봐주세요,mc sniper,140.0,0.0,0.1,0.4,0.3,0.15,0.05,0.8,0.2,"The channel 'mc sniper' suggests a focus on music, likely appealing to those interested in rap or hip-hop. The 2002 debut song title indicates a nostalgic theme, attracting older audiences who grew up with this music, predominantly males."
_jDWUFhErpk,"🔥≪신병 시즌3≫ 5-8화🔥떴다..! 일구가 예비군 동원 훈련 조교로 가서, 자신을 지독하게 괴롭히던 악마선임들을 만나버렸는데, 지가 여전히 선임인 줄 아네..? 넌 D졌다..",지무비 : G Movie,280.0,0.0,0.1,0.4,0.4,0.1,0.0,0.9,0.1,"The content is related to military life, a topic heavily associated with male viewers, particularly those who have served or are about to serve in the military. The humorous and dramatic narrative appeals mainly to a male audience in their 20s and 30s."
apbZ4HgJ5ps,80일 만에 드디어 알에서 태어났습니다! 그런데 한 마리는 결국...,헌터퐝,201.0,0.05,0.1,0.2,0.3,0.25,0.1,0.8,0.2,"The channel '헌터퐝' appears to focus on reptile care, likely appealing to hobbyists and enthusiasts, which traditionally skews male. The content also suggests an audience that is more mature, leading to a higher likelihood of viewers in their 30s and 40s."
BUrnpH97Mp4,이 영상 하나로 [썬더볼츠*]  캐릭터 완벽 총정리! (개봉전 필수 시청 강조!),메밀묵도리,105.0,0.0,0.2,0.5,0.2,0.1,0.0,0.85,0.15,"The content focuses on a detailed analysis of characters from the Marvel Cinematic Universe, specifically targeting fans interested in superhero movies. Such content is more likely to attract younger male audiences, particularly those in their 20s who follow the latest in pop culture and entertainment."
5NNfOHXy3yQ,"🔥≪신병≫ 시즌3🔥드디어 떴다..! 중대로 복귀한 성윤모가 ""연예인 후임""과 ""개폐급 후임"" 신병을  동시에 맞이하면 벌어지는 일 ㄷㄷ ≪신병 시즌3≫ 1-4화",지무비 : G Movie,1938.0,0.0,0.5,0.4,0.1,0.0,0.0,0.9,0.1,"The channel 'G Movie' is known for military-themed dramas, appealing mainly to male viewers. The content and humor style is particularly engaging for teenagers and young adults."
QuS22g7mueI,슈뻘맨이 중학생이 됐다고!? 동욱이형 여자친구는..?!,슈뻘맨 [슈퍼 뻘짓 도전기],313.0,0.05,0.7,0.2,0.05,0.0,0.0,0.8,0.2,"The channel and script strongly focus on middle school life and gaming, resonating with teenagers, especially boys. The gaming element and school setting suggest a predominantly male teenage audience."
yEMFKHrifoA,선넘는 행동하고 돈으로 해결하는 금융치료 챌린지ㅋㅋㅋㅋㅋㅋ,보물섬,588.0,0.0,0.5,0.4,0.1,0.0,0.0,0.9,0.1,"The 'Treasure Island' channel is known for its humorous and edgy content, appealing primarily to a younger male audience. The chaotic and irreverent script aligns with content that typically attracts teenagers and young adults."
oGrPaGOWakY,에렌이 땅울림을 일으킬 수밖에 없었던 진짜 이유 3가지,조삭,111.0,0.0,0.1,0.5,0.3,0.1,0.0,0.85,0.15,"The video discusses themes from 'Attack on Titan', an anime that tends to appeal more to a male audience. The content's complexity and depth suggest a primarily 20s and 30s audience interested in anime and philosophical themes."
Jw54tPQFNUw,인간이 되고 싶은 AI,침착맨,147.0,0.001,0.1,0.6,0.25,0.039,0.01,0.9,0.1,"The channel '침착맨' is well-known for its humorous and satirical content, appealing mostly to a young adult male audience. The topic of AI and casual conversations suggests a focus on tech-interested viewers, typically males in their 20s to 30s."
m3uGtWmq6Ww,현재 미국에서 욕먹고 있다는 한국 교촌치킨 가봤습니다,영알남YAN,105.0,0.0,0.05,0.6,0.3,0.05,0.0,0.8,0.2,"The channel 영알남YAN focuses on cultural topics, and the video discusses US perception of Korean fried chicken, appealing to male viewers interested in food, travel, and cultural differences. The content targets young adults, particularly in their 20s and 30s, who are more likely to be interested in international food trends and travel experiences."
sTgrKqVycgc,험한 것 투성인 왓츠인마이 버킨백 [뽀나스 영상],추성훈 ChooSungHoon,334.0,0.0,0.1,0.2,0.4,0.2,0.1,0.9,0.1,"The channel 'ChooSungHoon' is known for its focus on lifestyle and luxury, appealing primarily to older men interested in fashion and personal items. The content features discussions on high-end fashion and accessories, which typically attract a male audience."
jEjSas6QHUc,한달에 한 번은 꼭 가는 아조씨의 방앗간,추성훈 ChooSungHoon,1503.0,0.05,0.15,0.35,0.25,0.15,0.05,0.8,0.2,"Choo Sung-hoon is known for content appealing to male audiences, focusing on lifestyle and fitness. The video's casual exploration of shopping and humor targets young adults, especially males in their 20s and 30s."
kOEzld6RygU,"롤모델이 짐종국인 여자 아이돌... (Feat. 정은지, 마선호)",김종국 GYM JONG KOOK,115.0,0.0,0.2,0.5,0.2,0.1,0.0,0.8,0.2,"The channel '김종국 GYM JONG KOOK' primarily targets male audiences interested in fitness and bodybuilding. The inclusion of female idols may attract some female viewers, but the content's focus on intense workouts aligns more with a male audience."
Qs6ZkwgxjVs,실화?? 들었다 놨다만 하면 잡힌다!! 족대와 지렛대만 있으면 강원도 고성  보양식으로 술안주 해결!!,마초TV,167.0,0.0,0.05,0.15,0.3,0.3,0.2,0.9,0.1,"The content of the video focuses on fishing and outdoor activities, which typically attract a male audience. The humor and style of the host suggest an appeal to adults, particularly in the 30-50 age range."
RwrxDNrB1m0,8호점 오픈 3개월 차... 이건 예상치 못한 매출이라 저도 당황 스럽네요...,세부필리핀 초이 사장 Owner Choi,118.0,0.0,0.05,0.3,0.45,0.15,0.05,0.8,0.2,"The channel focuses on business operations and expansion, likely attracting a more mature audience interested in entrepreneurship. The content involves business and franchise details, which typically engage male viewers more."
17CjFapx4Ss,ep01. 자연인 윤택 선정 최악의 자연인 밥상 best 3,정동원(JD1),121.0,0.0,0.3,0.4,0.2,0.1,0.0,0.9,0.1,"The channel and content focus on outdoor and adventurous elements, appealing primarily to a male audience. The humor and adventurous nature of the content likely attracts a younger demographic, particularly those in their 20s and teens."
UAZxO5xrUMA,[미공개] 택근의 런모닝🌞(feat.미국인 아저씨) | Studio C1,스튜디오시원 StudioC1,100.0,0.0,0.1,0.5,0.3,0.1,0.0,0.8,0.2,"The content revolves around morning running in Hawaii, which appeals to fitness enthusiasts. The script indicates a focus on sports and lifestyle, attracting a younger male audience, primarily in their 20s and 30s."
f0xmrtlDXts,축구vs농구 뭐가 더 재밌을까?! 슈뻘맨 운동 최강자는?!,슈뻘맨 [슈퍼 뻘짓 도전기],221.0,0.1,0.4,0.3,0.15,0.05,0.0,0.8,0.2,"The channel '슈뻘맨' focuses on sports and entertainment challenges, appealing to a younger male audience interested in sports and playful competitions. The script also emphasizes sports rivalry and humorous banter, aligning with male teenage and young adult preferences."
l5axU-EQ5Gg,(실제로 한 말) 흥민아 빠따 가져와라... 박지성마저 빠따 찾게 하는 손흥민의 장난ㅋㅋㅋㅋㅋ [맨인유럽2025 EP 15],슛포러브,175.0,0.0,0.1,0.4,0.3,0.15,0.05,0.85,0.15,"The channel '슛포러브' is known for sports content, particularly focusing on soccer, which generally attracts a male audience. The video discusses interactions with famous soccer players, appealing to soccer enthusiasts, mostly in their 20s and 30s."
2kZ_m0xVQy8,탈골스윙- 30m 이내의 어프로치는 치는 방법이 따로 있습니다.,탈골스윙,476.0,0.0,0.05,0.2,0.4,0.25,0.1,0.8,0.2,"The content is focused on golf techniques, specifically approach shots, which tends to attract a male audience. The detailed technical explanations suggest a viewership skewed towards adults, particularly those in their 30s and 40s who are likely to be more involved in golf."
dp2ZMcRk3ug,"현대 최강 암살자, 전생했더니 이세계 용사 암살 미션을 받았다? 귀족 암살자로 환생하는 이세계 판타지 이야기의  애니메이션 [ 애니 리뷰 ]",마루애니,219.0,0.05,0.35,0.4,0.1,0.05,0.05,0.8,0.2,"The channel '마루애니' likely targets anime enthusiasts, and the content is an anime review with a fantasy setting, attracting primarily male viewers. The themes and narrative style appeal mostly to teenagers and people in their 20s who are interested in anime and fantasy genres."
nX_DHc4-iGU,먹다보니 42km 완주했네요..2025 서울마라톤,한스 HANS,180.0,0.0,0.1,0.3,0.4,0.15,0.05,0.85,0.15,"The content focuses on marathon running, typically attracting a male audience interested in sports and fitness. The humorous and casual style suggests appeal to a younger audience, particularly those in their 20s and 30s who might relate to the informal tone."
ndEyd9_AbiE,철권 화랑의 발차기를 실제 경기에서..!!? 전세계를 놀라게 한 23세 발차기의 신 ㄷㄷ,차도르,113.0,0.0,0.1,0.3,0.4,0.2,0.0,0.9,0.1,"The content focuses on mixed martial arts and kickboxing, appealing mostly to a male audience interested in sports and fighting. The detailed analysis of a fighter's career and style is likely to attract viewers in their 20s to 40s who follow combat sports."
Q9tJfvwm_4c,[1회 하이라이트] 신병도 왔는데 신고식 가~보자!😎 신병 아닌 말년 병장 최일구 잡는 박민석은 덤으로^^ #신병3,ENA 이엔에이,657.0,0.0,0.15,0.45,0.25,0.1,0.05,0.8,0.2,"The content revolves around military life and humor, likely attracting a predominantly male audience interested in military themes. The age distribution suggests a focus on younger individuals, particularly those in their 20s, who are more likely to find this content relatable and entertaining."
RiXnlUcPe_k,이 동물들이 부활하면 인류는 절대 살아남지 못합니다.,지식돼지,243.0,0.01,0.05,0.3,0.4,0.2,0.04,0.85,0.15,"The channel '지식돼지' focuses on interesting facts that generally appeal to adults interested in history and prehistoric creatures, resulting in a higher viewership among the 30-40 age group. The content's theme of ancient creatures typically attracts a predominantly male audience with interests in history and science fiction."
EAL_XnY-S2I,"[ENG SUB]이종범 {짠한형} EP. 60 술자리 레전드 찍고 간 야구 레전드 ""오늘 분위기 D져분다잉~""",짠한형 신동엽,110.0,0.0,0.05,0.2,0.35,0.25,0.15,0.85,0.15,"The channel '짠한형 신동엽' seems to target a mostly male audience with its content related to sports and male-oriented products. The script indicates a focus on sports figures and casual discussions, likely appealing to a 30-40s male demographic familiar with Korean baseball legends."
